stop_id,stop_code,stop_name,stop_lat,stop_lon
stop_27_04665_75_78873,BKHA,"BHAIRU KHEJDA",27.04665,75.78873
stop_27_03333_75_78484,TDEPO,"TODI DEPOT",27.033327,75.784843
stop_27_02891_75_76897,TODI,"TODI",27.02891,75.76897
stop_27_01735_75_76963,HARMA,"HARMARA",27.017351,75.769635
stop_27_01249_75_76942,NIMOD,"NINDHAR MOD",27.012489,75.769417
stop_27_00583_75_77074,ANOKH,"ANOKHA GAAV",27.005825,75.770744
stop_26_99722_75_77091,VKI14,"VKI NO. 14",26.997224,75.770914
stop_26_99303_75_77209,VKI12,"VKI NO. 12",26.993026,75.772093
stop_26_98687_75_77334,VKI9,"VKI NO. 9",26.986874,75.773338
stop_26_98230_75_77447,VK8,"VKI NO. 8",26.982304,75.77447
stop_26_97957_75_77432,VKI5,"VKI NO. 5",26.979571,75.774322
stop_26_97062_75_77259,VKI1,"VKI NO. 1",26.970617,75.772591
stop_26_96624_75_77255,MSCHO,"M. SCHOOL",26.966243,75.772551
stop_26_96074_75_77169,KEHOS,"KHETAN HOS",26.960742,75.771692
stop_26_95559_75_77160,DLAJI,"DHER KA BALAJI",26.955588,75.771602
stop_26_94603_75_77336,BETAN,"BHAWANI NIKETAN",26.94603,75.773364
stop_26_94102_75_77372,CUA,"CHOMU PULIYA",26.941019,75.773722
stop_26_94007_75_77725,26,"AMBA BARI",26.940066,75.777249
stop_26_93941_75_78617,PPACH,"PANI PACH",26.939408,75.786166
stop_26_93263_75_78492,CKA,"CHINKARA",26.93263,75.78492
stop_26_92643_75_78498,RMN,"RAM MANDIR",26.926432,75.784977
stop_26_92009_75_78929,RAILW,"RAILWAY STATION",26.92009,75.78929
stop_26_92298_75_80186,SCAMP,"SINDHI CAMP",26.92298,75.80186
stop_26_92581_75_80768,CDE,"CHANDPOLE",26.92581,75.80768
stop_26_92476_75_81877,COPAR,"CHOTI CHOPAR",26.92476,75.81877
stop_26_92312_75_82663,BOPAR,"BADI CHOPAR",26.92312,75.82663
