route_id,service_id,trip_id,trip_headsign,direction_id
1,weekday,trip_1,"GALTA",0
1,weekday,trip_2,"GALTA",0
1,weekday,trip_3,"GALTA",0
1,weekday,trip_4,"GALTA",0
1,weekday,trip_5,"GALTA",0
1,weekday,trip_6,"GALTA",0
1,weekday,trip_7,"GALTA",0
1,weekday,trip_8,"GALTA",0
1,weekday,trip_9,"GALTA",0
1,weekday,trip_10,"GALTA",0
1,weekday,trip_11,"GALTA",0
1,weekday,trip_12,"GALTA",0
1,weekday,trip_13,"GALTA",0
1,weekday,trip_14,"GALTA",0
1,weekday,trip_15,"GALTA",0
1,weekday,trip_16,"GALTA",0
1,weekday,trip_17,"GALTA",0
1,weekday,trip_18,"GALTA",0
1,weekday,trip_19,"GALTA",0
1,weekday,trip_20,"GALTA",0
1,weekday,trip_21,"GALTA",0
1,weekday,trip_22,"GALTA",0
1,weekday,trip_23,"GALTA",0
1,weekday,trip_24,"GALTA",0
1,weekday,trip_25,"GALTA",0
1,weekday,trip_26,"GALTA",0
1,weekday,trip_27,"GALTA",0
1,weekday,trip_28,"GALTA",0
1,weekday,trip_29,"BHAIRU KHEJDA",1
1,weekday,trip_30,"BHAIRU KHEJDA",1
1,weekday,trip_31,"BHAIRU KHEJDA",1
1,weekday,trip_32,"BHAIRU KHEJDA",1
1,weekday,trip_33,"BHAIRU KHEJDA",1
1,weekday,trip_34,"BHAIRU KHEJDA",1
1,weekday,trip_35,"BHAIRU KHEJDA",1
1,weekday,trip_36,"BHAIRU KHEJDA",1
1,weekday,trip_37,"BHAIRU KHEJDA",1
1,weekday,trip_38,"BHAIRU KHEJDA",1
1,weekday,trip_39,"BHAIRU KHEJDA",1
1,weekday,trip_40,"BHAIRU KHEJDA",1
1,weekday,trip_41,"BHAIRU KHEJDA",1
1,weekday,trip_42,"BHAIRU KHEJDA",1
1,weekday,trip_43,"BHAIRU KHEJDA",1
1,weekday,trip_44,"BHAIRU KHEJDA",1
1,weekday,trip_45,"BHAIRU KHEJDA",1
1,weekday,trip_46,"BHAIRU KHEJDA",1
1,weekday,trip_47,"BHAIRU KHEJDA",1
1,weekday,trip_48,"BHAIRU KHEJDA",1
1,weekday,trip_49,"BHAIRU KHEJDA",1
1,weekday,trip_50,"BHAIRU KHEJDA",1
1,weekday,trip_51,"BHAIRU KHEJDA",1
1,weekday,trip_52,"BHAIRU KHEJDA",1
1,weekday,trip_53,"BHAIRU KHEJDA",1
1,weekday,trip_54,"BHAIRU KHEJDA",1
1,weekday,trip_55,"BHAIRU KHEJDA",1
1,weekday,trip_56,"BHAIRU KHEJDA",1
1A,weekday,trip_57,"VKI NO. 17",0
1A,weekday,trip_58,"VKI NO. 17",0
1A,weekday,trip_59,"VKI NO. 17",0
1A,weekday,trip_60,"VKI NO. 17",0
1A,weekday,trip_61,"VKI NO. 17",0
1A,weekday,trip_62,"VKI NO. 17",0
1A,weekday,trip_63,"VKI NO. 17",0
1A,weekday,trip_64,"VKI NO. 17",0
1A,weekday,trip_65,"VKI NO. 17",0
1A,weekday,trip_66,"VKI NO. 17",0
1A,weekday,trip_67,"VKI NO. 17",0
1A,weekday,trip_68,"VKI NO. 17",0
1A,weekday,trip_69,"VKI NO. 17",0
1A,weekday,trip_70,"VKI NO. 17",0
1A,weekday,trip_71,"VKI NO. 17",0
1A,weekday,trip_72,"VKI NO. 17",0
1A,weekday,trip_73,"VKI NO. 17",0
1A,weekday,trip_74,"VKI NO. 17",0
1A,weekday,trip_75,"VKI NO. 17",0
1A,weekday,trip_76,"VKI NO. 17",0
1A,weekday,trip_77,"VKI NO. 17",0
1A,weekday,trip_78,"VKI NO. 17",0
1A,weekday,trip_79,"VKI NO. 17",0
1A,weekday,trip_80,"VKI NO. 17",0
1A,weekday,trip_81,"VKI NO. 17",0
1A,weekday,trip_82,"VKI NO. 17",0
1A,weekday,trip_83,"VKI NO. 17",0
1A,weekday,trip_84,"VKI NO. 17",0
1A,weekday,trip_85,"TRANSPORT NGR",1
1A,weekday,trip_86,"TRANSPORT NGR",1
1A,weekday,trip_87,"TRANSPORT NGR",1
1A,weekday,trip_88,"TRANSPORT NGR",1
1A,weekday,trip_89,"TRANSPORT NGR",1
1A,weekday,trip_90,"TRANSPORT NGR",1
1A,weekday,trip_91,"TRANSPORT NGR",1
1A,weekday,trip_92,"TRANSPORT NGR",1
1A,weekday,trip_93,"TRANSPORT NGR",1
1A,weekday,trip_94,"TRANSPORT NGR",1
1A,weekday,trip_95,"TRANSPORT NGR",1
1A,weekday,trip_96,"TRANSPORT NGR",1
1A,weekday,trip_97,"TRANSPORT NGR",1
1A,weekday,trip_98,"TRANSPORT NGR",1
1A,weekday,trip_99,"TRANSPORT NGR",1
1A,weekday,trip_100,"TRANSPORT NGR",1
1A,weekday,trip_101,"TRANSPORT NGR",1
1A,weekday,trip_102,"TRANSPORT NGR",1
1A,weekday,trip_103,"TRANSPORT NGR",1
1A,weekday,trip_104,"TRANSPORT NGR",1
1A,weekday,trip_105,"TRANSPORT NGR",1
1A,weekday,trip_106,"TRANSPORT NGR",1
1A,weekday,trip_107,"TRANSPORT NGR",1
1A,weekday,trip_108,"TRANSPORT NGR",1
1A,weekday,trip_109,"TRANSPORT NGR",1
1A,weekday,trip_110,"TRANSPORT NGR",1
1A,weekday,trip_111,"TRANSPORT NGR",1
1A,weekday,trip_112,"TRANSPORT NGR",1
3,weekday,trip_113,"TRANSPORT NGR",0
3,weekday,trip_114,"TRANSPORT NGR",0
